id,question,answer,seed,master_seed,subject,subject_area,time_open,gold_reason,gold_reason_source,remarks
11,Can phase-transfer catalysts be used to solubilize solid reactants into the organic phase?,A,Catalysis,Chiral Catalysis,chemistry,,NA,"Phase-transfer catalysts, such as quaternary ammonium or phosphonium salts, help transfer ionic reactants (often anions) from an aqueous phase to an organic phase where the reaction can occur. This is particularly useful when dealing with solid reactants that are poorly soluble in organic solvents. The PTC interacts with the ionic species, effectively “carrying” them into the organic phase, where they become more reactive due to the change in environment.","[https://link.springer.com/chapter/10.1007/978-94-011-0687-0_2, https://www.operachem.com/phase-transfer-catalysis-ptc/]",
12,Can passivation of electrodes increase circuit resistance and interfere with electrochemical applications?,A,Carbon quantum dot,Biocatalytic Nanoreactors,chemistry,,NA,"Passivation occurs when a layer of oxide or other passivating material forms on the surface of the electrode. This layer acts as a barrier, reducing the active surface area available for electrochemical reactions. As a result, the overall impedance of the electrode increases, leading to higher circuit resistance.",[https://www.mdpi.com/2076-3417/14/3/1297],
13,Can all-pairs shortest paths be computed in strongly sub-cubic time?,C,other_algorithmic,other_algorithmic,theoreticalcs,,08/2024,The question of whether all-pairs shortest paths (APSP) can be computed in strongly sub-cubic time remains an area of active research in algorithm design. It has not been proven or disproven if all-pairs shortest paths can be computed in strongly sub-cubic time.,"[https://jeffe.cs.illinois.edu/teaching/algorithms/book/09-apsp.pdf,  http://www.eecs.tufts.edu/~aloupis/comp260/lectures/chan-2008.pdf]",
14,Can graphene biosensors selectively bind to 8-hydroxydeoxyguanosine?,A,Fractional Quantum Hall Effect in Bilayer Graphene,Fractional Quantum Hall Effect in Bilayer Graphene,physics,,NA,"Graphene possesses an exceptionally high surface area and excellent electrical conductivity, which enhance the interaction between the biosensor and the target biomolecule, 8-OHdG. This high surface area allows for a greater number of binding sites, facilitating effective detection even at low concentrations.","[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10536827/, https://www.nature.com/articles/s41598-019-43680-y]",
15,Does the tidal force on a body at a black hole's event horizon increase with the square of the black hole's mass?,A,Black hole,Galactic Center Black Hole Dynamics,physics,,NA,,,
16,Can topological order lead to perfect conducting edge states?,A,Topological Quantum Field Theory in (3+1)-dimensions,Topological Quantum Field Theory in (3+1)-dimensions,physics,,,,,
17,Can the use of ultracold atoms lead to the realization of a quantum computer?,A,Ultracold atom,Superfluidity in Ultracold Atoms,physics,,NA,"Ultracold atoms can maintain quantum coherence for relatively long periods, which is necessary for performing a sufficient number of quantum gate operations before decoherence occurs. For example, a study by MIT researchers showed that collections of ultracold sodium-potassium molecules can retain information for hundreds of times longer than previously achieved.",[https://news.mit.edu/2017/ultracold-molecules-hold-promise-quantum-computing-qubit-0727],
18,Can every problem in the complexity class EXP be solved by a deterministic Turing machine in exponential time?,A,Complexity Classes,Complexity Classes,theoreticalcs,,NA,"By definition, all problems categorized under EXPTIME can be solved by a deterministic Turing machine within exponential time constraints. Therefore, the existence of a problem in EXPTIME inherently implies that there is a deterministic algorithm that can solve it in exponential time.The complexity classes are organized in a hierarchy, where EXPTIME is known to include several other classes, such as P (problems solvable in polynomial time) and NP (nondeterministic polynomial time problems). This hierarchy illustrates that as the complexity of problems increases, the time required to solve them also increases, with EXPTIME representing a broad class of problems solvable in exponential time.",[https://eitca.org/cybersecurity/eitc-is-cctf-computational-complexity-theory-fundamentals/complexity/time-complexity-with-different-computational-models/can-the-np-class-be-equal-to-the-exptime-class/],
19,Is it possible to convert a non-deterministic finite-state machine to a deterministic one?,A,Automata Theory,Automata Theory,theoreticalcs,,NA,"The process of converting an NFSM to a DFSM is typically accomplished using the subset construction algorithm (also known as the powerset construction). Here’s how it works. Each state in the resulting DFSM corresponds to a subset of states in the NFSM. For example, if the NFSM has states {q1, q2}, the DFSM will have a state that represents both q1 and q2 simultaneously. For each state in the DFSM, the algorithm determines the possible transitions based on the input symbols. If the NFSM can transition to multiple states for a given input, the DFSM will have a transition to a new state that represents all those possible states. The initial state of the DFSM is the set containing the initial state of the NFSM. A state in the DFSM is considered accepting if it contains at least one accepting state from the NFSM.",[https://en.wikipedia.org/wiki/Finite-state_machine],
20,Can air temperature profile affect the refractive index for a radio wave?,A,Index of radio propagation articles,Cosmic Ray Propagation Models,physics,,NA,"The refractive index of air is affected by temperature variations because temperature influences the density and composition of the air. As temperature increases, the density of air decreases, which in turn affects the refractive index. Specifically, warmer air tends to have a lower refractive index compared to cooler air, leading to changes in the propagation characteristics of radio waves.",[https://nvlpubs.nist.gov/nistpubs/jres/67A/jresv67An2p163_A1b.pdf],
21,What is the number of n x n Latin squares?,C,combinatorics,combinatorics,mathematics,,08/2024,"There is no known easily computable formula for the number Ln of n × n Latin squares with symbols 1, 2, ..., n. The most accurate upper and lower bounds known for large n are far apart. ",[https://en.wikipedia.org/wiki/Latin_square],QMO
22,Can electrons tunnel through a potential energy barrier larger than 3 nm?,B,Quantum chaos,Chaos Theory,physics,,NA,"As the barrier width $L$ increases, the exponential term, which appears in the turnneling probability term, $e^{-2\kappa L}$ gets smaller very quickly, making the tunneling probability negligible. For typical barrier heights, the tunneling probability becomes unmeasurably small for barrier widths greater than about 3 nm.",[https://phys.libretexts.org/Bookshelves/University_Physics/University_Physics_%28OpenStax%29/University_Physics_III_-_Optics_and_Modern_Physics_%28OpenStax%29/07:_Quantum_Mechanics/7.07:_Quantum_Tunneling_of_Particles_through_Potential_Barriers],
23,Can a cover of a topological space X contain a set that is not open in X?,B,General topology,Topology,mathematics,,,"For a collection to be classified as an open cover, all of its members must be open sets. If even one member of the cover is not open, then it does not satisfy the definition of an open cover. Therefore, a cover cannot include sets that are not open.",[https://johnstonmd.wordpress.com/wp-content/uploads/2015/03/math521-w07.pdf],
24,Does a commutative ring always include a multiplicative identity element?,A,Abstract Algebra,Abstract Algebra,mathematics,,NA,"A ring is a set endowed with two binary operations called addition and multiplication such that the ring is an abelian group with respect to the addition operator, and the multiplication operator is associative, is distributive over the addition operation, and has a multiplicative identity element. A commutative ring is a ring whose multiplication operation is commutative.",[https://en.wikipedia.org/wiki/Ring_(mathematics)],
25,Does the Cherlin–Zilber conjecture hold true?,C,model_theory_and_formal_languages,model_theory_and_formal_languages,mathematics,,08/2024,"The Cherlin–Zilber conjecture remains unproven as of now. This conjecture, formulated independently by Gregory Cherlin and Boris Zilber, posits that every infinite (ω-stable) simple group is isomorphic to a simple algebraic group over an algebraically closed field. Although significant progress has been made in related areas, the general conjecture itself is still open.",[http://people.maths.ox.ac.uk/~zilber/ang.pdf],
26,Is the first homotopy group of O(∞) identical to the seventh homotopy group of O(∞)?,A,Periodicity,Topological K-theory,mathematics,,,,,
27,Does the minimal version of 4-dimensional supergravity contain broken local supersymmetry?,B,Supersymmetry Phenomenology,Supersymmetry Phenomenology,physics,,NA,"If local supersymmetry were broken, it would imply the existence of a vacuum state that is not invariant under supersymmetry transformations, leading to physical consequences such as mass terms for the superpartners of the particles involved. However, in the minimal formulation, the absence of such mass terms and the preservation of the symmetry indicate that local supersymmetry remains unbroken.",[https://ncatlab.org/nlab/show/D=4%2Bsupergravity],
28,Is it possible for the non-zero eigenvalues of a skew-symmetric matrix to be real?,B,Symplectic matrix,Symplectic Field Theory,mathematics,,,The eigenvalues of a skew-symmetric matrix are complex numbers with real part zero.,[https://sites.math.rutgers.edu/courses/252Old/252-s00/skew2000.pdf],
29,Can polysilazanes be isoelectronic with polysiloxanes?,A,Organosilicon chemistry,Organometallic Compounds,chemistry,,NA,"The term ""isoelectronic"" refers to species that have the same number of electrons or the same electronic structure. In this case, both polysilazanes and polysiloxanes can be considered isoelectronic because they have similar bonding arrangements where silicon atoms are bonded to either nitrogen or oxygen, respectively. Each silicon atom in both polymers typically forms four bonds, maintaining a similar electronic configuration.","[https://en.wikipedia.org/wiki/Polysilazane, https://en.wikipedia.org/wiki/Siloxane]",
30,Is the New Mersenne conjecture correct?,C,prime_number_conjectures,prime_number_conjectures,mathematics,,08/2024,"While the conjecture has not been formally proven, it is widely regarded as ""obviously true"" based on existing data and the lack of counterexamples beyond those known cases. Thus, while the conjecture remains unproven, the consensus in the mathematical community leans toward its validity based on current evidence.",[https://t5k.org/mersenne/NewMersenneConjecture.html],QMO
31,Does an endothermic reaction absorb energy from the surroundings?,A,Transition State Theory,Transition State Theory,chemistry,,NA,"In an endothermic reaction, the change in enthalpy is positive, indicating that the products have a higher enthalpy than the reactants. This means that the system (the reaction) requires an input of energy from the surroundings to proceed.",[https://simple.wikipedia.org/wiki/Endothermic_reaction],
32,Is the Krull dimension of a positively graded ring always finite?,A,Singular point of an algebraic variety,Geometric Analysis on Singular Spaces,mathematics,,NA,,,
33,Is the Skyrmion a solution of the sigma model when coupled to a gauge field?,A,Non-linear sigma model,Renormalization Group,physics,,NA,"When the sigma model is coupled to a gauge field, it becomes a gauged non-linear sigma model. This coupling introduces additional dynamics and interactions through the gauge field, which can represent various physical phenomena, such as magnetic interactions. The energy functional of a gauged sigma model can be formulated to include contributions from both the sigma field and the gauge field. The resulting equations of motion, particularly the Bogomol’nyi equations, can be satisfied by Skyrmion configurations. These equations often lead to a rich structure of solutions that include the Skyrmion as a specific case.",[https://scipost.org/SciPostPhys.7.3.030/pdf],
34,Does the presence of a polar protic solvent favor SN1 over SN2 reactions?,A,chemistry,chemistry,chemistry,,NA,"In an SN1 reaction, the first step involves the formation of a carbocation intermediate after the leaving group departs. Polar protic solvents, such as water and alcohols, are able to stabilize this carbocation through solvation and hydrogen bonding interactions. The solvent molecules surround the carbocation, lowering its energy and making it more stable. This stabilization facilitates the formation of the carbocation and speeds up the rate-determining step of the SN1 mechanism.",[https://chem.libretexts.org/Bookshelves/Organic_Chemistry/Organic_Chemistry_I_%28Liu%29/07:_Nucleophilic_Substitution_Reactions/7.05:_SN1_vs_SN2],
35,Will the chemical compounds detected by electronic tongue sensors have the same spectrum of reactions as that of human receptors?,A,Chemical Sensors,Chemical Sensors,chemistry,,NA,"In the biological mechanism, taste signals are transduced by nerves into electrical signals that the brain processes. Electronic tongues use a similar principle - the sensors generate electrical signals as voltammetric and potentiometric variations in response to taste compounds, which can then be interpreted by the instrument's software.",[https://en.wikipedia.org/wiki/Electronic_tongue],
36,Is it possible to create transuranium elements with extremely large nuclei without subjecting them to rapid radioactive decay?,A,Nuclear physics,High-Energy Nuclear Physics,physics,,NA,"Theoretical calculations suggest that there may be an ""island of stability"" for superheavy elements with certain combinations of protons and neutrons. These nuclei are predicted to have significantly longer half-lives compared to other superheavy elements. To approach the island of stability, researchers have been attempting to create heavier and heavier elements by fusing lighter nuclei. The heaviest element discovered so far is oganesson (element 118), which has a half-life of only a few milliseconds.",[https://superheavies.uni-mainz.de/2024/02/13/island-of-enhanced-stability/],
37,Will increasing the temperature of a reaction always result in a higher reaction rate?,B,chemistry,chemistry,chemistry,,NA,"There are exceptions where the rate may decrease or remain unchanged. Many biological reactions are catalyzed by enzymes. Enzymes have an optimal temperature range at which they function best. Increasing the temperature beyond this optimal range can cause the enzyme to denature and lose its catalytic activity, leading to a decrease in the reaction rate",[https://en.wikipedia.org/wiki/Biochemistry],
38,Does chemical vapor deposition involve the activation of gaseous species?,A,Chemical vapor deposition,Quantum Spin Hall Effect in Graphene Nanoribbons,physics,,NA,"In CVD, gaseous precursors are introduced into a deposition chamber. These precursors must undergo chemical reactions to form solid materials on the substrate. The activation of these gaseous species is crucial for initiating these reactions. The activation can occur through various means, including thermal energy, plasma, or other methods that provide the necessary energy to break chemical bonds in the precursor gases. For example, in plasma-enhanced CVD (PECVD), plasma is used to enhance the chemical reaction rates, allowing for deposition at lower temperatures than traditional CVD methods.",[https://www.semicore.com/news/117-what-is-chemical-vapor-deposition-cvd],
39,Will the addition of a Lewis acid to a Lewis base always form a coordinate covalent bond?,A,chemistry,chemistry,chemistry,,NA,"A coordinate covalent bond (also known as a dative bond) occurs when one atom provides both electrons for the bond formation. When a Lewis base donates a pair of electrons to a Lewis acid, a coordinate covalent bond is formed. This bond is characterized by the Lewis base supplying both electrons, while the Lewis acid accepts them.",[https://courses.lumenlearning.com/suny-chem-atoms-first/chapter/lewis-acids-and-bases-2/],
40,Does active matter always break time reversal symmetry?,A,Active Matter,Active Matter,physics,,NA,"Active matter systems exhibit a significant production of entropy due to their non-equilibrium nature. The entropy production quantifies the irreversibility of the dynamics, indicating that the forward and reverse processes are not equivalent. This irreversibility is a hallmark of broken time reversal symmetry, as it implies that the dynamics of the system in one direction (forward in time) cannot be simply reversed.",[https://journals.aps.org/prx/abstract/10.1103/PhysRevX.12.010501https://journals.aps.org/prx/abstract/10.1103/PhysRevX.12.010501],
41,Does Schanuel's conjecture involve the transcendence degree of exponentials of linearly independent irrationals?,A,analysis,analysis,mathematics,,NA,"Yes, Schanuel's conjecture involves the transcendence degree of exponentials of linearly independent irrational numbers. The conjecture states that if $x_1, \dots, x_n$ are complex numbers that are linearly independent over the rational numbers $\mathbb{Q}$, then the field extension $\mathbb{Q}(x_1, \dots, x_n, e^{x_1}, \dots, e^{x_n})$ has transcendence degree at least $n$ over $\mathbb{Q}$. In other words, the exponentials $e^{x_1}, \dots, e^{x_n}$ together with the linearly independent complex numbers $x_1, \dots, x_n$ must be algebraically independent over $\mathbb{Q}$ to the extent that they generate a field of transcendence degree at least $n$.",['https://mathworld.wolfram.com/SchanuelsConjecture.html],AC
42,Are the corresponding period-8 phenomena of the real orthogonal group and the quaternionic symplectic group related to the J-homomorphism?,A,Topological K-theory,Topological K-theory,mathematics,,,,,
43,Can one find a simple closed quasigeodesic on a convex polyhedron in polynomial time?,C,pvsnp,pvsnp,theoreticalcs,computational geometry,08/2024,"Work by Demaine, Hesterberg, and Ku has proposed algorithm that can identify closed quasigeodesics on convex polyhedra in pseudopolynomial rather than polynomial time due to the dependence on parameters related to the geometry of the polyhedron. Additionally, it has been established that every convex polyhedron has at least three simple closed quasigeodesics, as proven by Pogorelov in 1949. However, finding these quasigeodesics constructively in polynomial time remains an open problem in computational geometry.","[https://drops.dagstuhl.de/storage/00lipics/lipics-vol164-socg2020/LIPIcs.SoCG.2020.33/LIPIcs.SoCG.2020.33.pdf, https://www.science.smith.edu/~jorourke/Papers/QonT.pdf]",
44,Is it possible to find the shortest route that will reach the boundary of a given shape?,C,euclidean_geometry,euclidean_geometry,mathematics,,,,,TBR
45,Is the trace of a skew-symmetric matrix always zero?,A,Symplectic matrix,Symplectic Field Theory,mathematics,,NA,"All diagonal entries of a skew-symmetric matrix are zero. The trace of a matrix is the sum of its diagonal entries. Hence, the trace of a skew-symmetric matrix is always zero.",,
46,Is there an ergodic system with simple Lebesgue spectrum?,C,dynamical_systems,dynamical_systems,mathematics,,,,,TBR
47,Can plasma be confined long enough to create fusion power?,C,plasma_physics,plasma_physics,physics,nuclear fusion,08/2024,"While there are theoretical models capable of confining plasma long enough to achieve fusion, ongoing research and development are essential to create a commercially viable fusion power.",[https://www.britannica.com/technology/fusion-reactor/Principles-of-magnetic-confinement],
48,Is there a known algorithm that can determine whether a given algorithm runs in polynomial time on all inputs?,B,Polynomial Time Verification,Polynomial Time Verification,theoreticalcs,,NA,"The problem of determining whether any arbitrary algorithm halts (terminates) on all inputs is known as the Halting Problem. Alan Turing proved that there is no general algorithm that can solve the Halting Problem for all possible algorithms and inputs. This result implies that it is impossible to create a universal algorithm that can determine if a given algorithm runs in polynomial time for all inputs, as this would require solving the Halting Problem. The relationship between different complexity classes (like P and NP) indicates that while we can verify solutions in polynomial time (for NP problems), determining whether every instance of a problem can be solved in polynomial time (the essence of P vs. NP) is still an open question in computer science. There is no known algorithm that can universally classify all algorithms regarding their polynomial-time solvability.","[https://panageas.github.io/algo23slides/L19%20NP.pdf, https://en.wikipedia.org/wiki/P_versus_NP_problem]",
49,Will the addition of a hard Lewis acid to a soft Lewis base always result in the formation of a stable complex?,B,chemistry,chemistry,chemistry,,NA,"The interaction between a hard acid and a soft base may not be energetically favorable. For instance, the polarizability of the soft base can lead to weaker interactions with the hard acid, as the latter does not effectively stabilize the electron density of the soft base. Additionally, the nature of the bonding involved is crucial; hard acids and soft bases do not form the strong, stable complexes that are characteristic of hard-hard or soft-soft interactions.","[https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Supplemental_Modules_and_Websites_%28Inorganic_Chemistry%29/Coordination_Chemistry/Complex_Ion_Equilibria/Hard_and_Soft_Acids_and_Bases, https://rbmcollege.ac.in/sites/default/files/files/reading%20material/hard-and-soft-acids-and-bases.pdf]",
50,Is the pyrogallolarene hexamer generally more stable than resorcinarene hexamer in polar solvents?,A,Host-Guest Chemistry in Nanocapsules,Host-Guest Chemistry in Nanocapsules,chemistry,,NA,"Pyrogallolarene hexamers have multiple hydroxyl groups that can engage in extensive hydrogen bonding, both within the hexamer itself and with polar solvents. This extensive hydrogen bonding network enhances the stability of the pyrogallolarene hexamer in polar environments, allowing it to maintain its structural integrity better than resorcinarene hexamers, which may not form as many stabilizing interactions.",[https://pubmed.ncbi.nlm.nih.gov/18220396/],
51,Can all Cauchy sequences of linearly independent vectors have a limit?,B,Linear map,Linear Algebra,mathematics,,,"Consider a sequence of linearly independent vectors in \( \mathbb{R}^n \) that approaches a limit. For example, take the sequence of vectors \(\vec{v}_n = \left(1, \frac{1}{n}\right)\). As \( n \) approaches infinity, this sequence converges to the vector \(\vec{v} = (1, 0)\). However, if we consider the sequence of vectors \(\vec{u}_n = \left(1, \frac{1}{n}\right)\) and \(\vec{u}_m = (0, 1)\), the limit \((1, 0)\) is not linearly independent from \((0, 1)\) in the space spanned by these vectors.",Proof provided.,
52,Does the arc-discharge technique produce both single- and multi-walled nanotubes?,A,Chemical Vapor Synthesis,Chemical Vapor Synthesis,chemistry,,NA,"The arc-discharge method involves creating an electric arc between two carbon electrodes in an inert gas atmosphere, typically helium or argon. The high temperatures generated by the arc lead to the vaporization of carbon, which then condenses to form CNTs. The specific conditions, such as temperature, pressure, and the presence of catalysts, can influence the type of nanotubes produced. Under certain conditions, particularly with the use of specific catalysts (like nickel or cobalt), the arc-discharge technique can favor the formation of single-walled carbon nanotubes. Conversely, the same arc-discharge technique can also lead to the formation of multi-walled carbon nanotubes. This occurs when the carbon vapor condenses in such a way that multiple layers of graphene form concentrically around a central core. ",[https://chalcogen.ro/517_JumH.pdf],
53,Does a granular material subjected to shaking or vibration exhibit circulation patterns similar to types of fluid convection?,C,fluid_dynamics,fluid_dynamics,physics,,,,,
54,Are all primary alcohols more acidic than secondary alcohols?,B,chemistry,chemistry,chemistry,,NA,"When the carbon bearing the hydroxyl group is directly attached to highly electronegative fluorine atoms, the inductive effect of the fluorine atoms can stabilize the primary alkoxide ion, making the alcohol more acidic than expected. For example, trifluoroethanol (CF3CH2OH) is more acidic than ethanol (CH3CH2OH).",[https://www.embibe.com/exams/acidity-of-alcohol/],
55,Does the body-centered cubic lattice provide the optimal three-dimensional structure for making honeycomb?,B,Silicene,Topological Insulators,physics,,NA,"The body-centered cubic (BCC) lattice, while a stable and strong structure, does not replicate the hexagonal symmetry required for an optimal honeycomb. The BCC structure consists of a cube with an additional atom at the center, leading to a different packing efficiency and geometric arrangement that does not align with the properties of honeycomb structures.",[https://en.wikipedia.org/wiki/Cubic_honeycomb],
56,Can a nonpolar solvent effectively dissolve polar organic compounds?,B,chemistry,chemistry,chemistry,,NA,"When a polar compound is introduced to a nonpolar solvent, the intermolecular forces at play differ significantly. Polar compounds rely on hydrogen bonding and dipole interactions for solvation, while nonpolar solvents interact primarily through London dispersion forces, which are much weaker. As a result, the nonpolar solvent cannot effectively interact with the polar compound to solvate it, leading to poor solubility.","[https://en.wikipedia.org/wiki/London_dispersion_force, https://en.wikipedia.org/wiki/Chemical_polarity]",
57,What is the nature of the nuclear force that binds protons and neutrons into stable nuclei and rare isotopes?,C,nuclear_physics,nuclear_physics,physics,,,,,
58,Does the Coleman–Weinberg mechanism involve spontaneous symmetry breaking?,A,Mass generation,Symmetry Breaking Dynamics,physics,,NA,"The Coleman-Weinberg model describes a scalar field theory where the scalar field initially has no mass term in the Lagrangian. However, when quantum loop corrections are included, the effective potential develops a non-trivial minimum. This means that even if the classical potential has a symmetric vacuum at zero field value, the quantum corrections can trigger a spontaneous breaking of the symmetry.",[https://arxiv.org/pdf/2212.01785],
59,Are there infinitely many Newman–Shanks–Williams primes?,C,prime_number_conjectures,prime_number_conjectures,mathematics,,,,,
60,Does nonconvex sets in R2 tile by translation?,C,analysis,analysis,mathematics,,08/2024,"The tiling of R2 using nonconvex sets has been the subject of various studies, but there is no comprehensive answer that applies to all nonconvex sets. Specific nonconvex shapes have been shown to tile the plane, but a general theorem or criterion for nonconvex sets is still lacking.",['http://mk.eigen-space.org/ps/milano-lectures.pdf'],
61,Are there infinitely many palindromic primes to every base?,C,prime_number_conjectures,prime_number_conjectures,mathematics,,08/2024,"While it is known that there are infinitely many palindromic primes in base 10, the situation is less clear for other bases. For instance, in binary (base 2), there are also palindromic primes, but the question of whether there are infinitely many remains unresolved for bases other than 10. The general consensus is that while many palindromic primes have been identified across various bases, the existence of infinitely many palindromic primes in every base has not been proven.",[https://en.wikipedia.org/wiki/Palindromic_prime],
62,Is a metric space necessarily compact?,B,Comparison of topologies,Low-Dimensional Topology,mathematics,,,"Consider the metric space \( \mathbb{R} \) (the set of all real numbers) with the standard metric. The space \( \mathbb{R} \) is not compact because it is not bounded. For example, the open cover consisting of the intervals \( (-n, n) \) for each positive integer \( n \) covers \( \mathbb{R} \), but no finite subcollection of these intervals can cover \( \mathbb{R} \) entirely.",Counter-example provided.,
63,Can manipulating qubits in a particular way produce faster algorithms than classical digital electronics?,A,Nonlinear Optics,Nonlinear Optics,physics,,NA,"Qubits can become entangled, meaning the state of one qubit is directly related to the state of another, regardless of the distance between them. This property allows quantum computers to perform complex operations more efficiently, as changes to one qubit can instantaneously affect its entangled partners. This interconnectedness can lead to faster information processing compared to classical systems, where bits operate independently.",[https://www.techtarget.com/searchdatacenter/tip/Classical-vs-quantum-computing-What-are-the-differences],
